,piece,file,rank,index,probability,count
0,p,a,1,672,0.0,0
36,p,d,1,708,0.0,0
726,P,e,8,54,0.0,0
708,p,d,8,36,0.0,0
12,p,b,1,684,0.0,0
714,P,d,8,42,0.0,0
720,p,e,8,48,0.0,0
738,P,f,8,66,0.0,0
732,p,f,8,60,0.0,0
6,P,a,1,678,0.0,0
744,p,g,8,72,0.0,0
750,P,g,8,78,0.0,0
756,p,h,8,84,0.0,0
762,P,h,8,90,0.0,0
702,P,c,8,30,0.0,0
684,p,b,8,12,0.0,0
696,p,c,8,24,0.0,0
42,P,d,1,714,0.0,0
690,P,b,8,18,0.0,0
54,P,e,1,726,0.0,0
60,p,f,1,732,0.0,0
30,P,c,1,702,0.0,0
66,P,f,1,738,0.0,0
72,p,g,1,744,0.0,0
78,P,g,1,750,0.0,0
48,p,e,1,720,0.0,0
24,p,c,1,696,0.0,0
90,P,h,1,762,0.0,0
672,p,a,8,0,0.0,0
678,P,a,8,6,0.0,0
18,P,b,1,690,0.0,0
84,p,h,1,756,0.0,0
5,k,a,1,677,7.337696880904393e-05,1073
683,K,a,8,11,0.000101961845754226,1491
73,n,g,1,745,0.00010285084910419577,1504
89,k,h,1,761,0.00010777455996556685,1576
767,K,h,8,95,0.00011474981701917587,1678
85,n,h,1,757,0.00011481820189225047,1679
719,K,d,8,47,0.00012425531437654501,1817
29,k,c,1,701,0.00013246149914549683,1937
17,k,b,1,689,0.00013943675619910583,2039
751,N,g,8,79,0.00014292438472591034,2090
755,K,g,8,83,0.0001453862401565959,2126
695,K,b,8,23,0.00014928417792184798,2183
707,K,c,8,35,0.00015359242492554769,2246
77,k,g,1,749,0.00015386596441784608,2250
41,k,d,1,713,0.00015584912573700943,2279
65,k,f,1,737,0.00016357661639443904,2392
731,K,e,8,59,0.00016597008695204996,2427
743,K,f,8,71,0.00016679070542894515,2439
13,n,b,1,685,0.000172261495274913,2519
53,k,e,1,725,0.0001755439691824937,2567
764,B,h,8,92,0.00017759551537473167,2597
763,N,h,8,91,0.00017957867669389502,2626
86,b,h,1,758,0.00020228245455466162,2958
101,k,a,2,581,0.00023661166083810997,3460
691,N,b,8,19,0.000243586917891719,3562
1,n,a,1,673,0.00026841062681779815,3925
185,k,h,2,665,0.0002819508316865686,4123
587,K,a,7,107,0.0002887893189940284,4223
671,K,h,7,191,0.0003097150901548555,4529
61,n,f,1,733,0.00031655357746231534,4629
181,n,h,2,661,0.0003384367368461868,4949
91,N,h,1,763,0.00036168759369155015,5289
739,N,f,8,67,0.0003767322657679618,5509
197,k,a,3,485,0.0003770058052602602,5513
7,N,a,1,679,0.0003871267664753007,5661
137,k,d,2,617,0.00039437556302120814,5767
94,Q,h,1,766,0.00040114566545559335,5866
49,n,e,1,721,0.00040545391245929303,5929
757,n,h,8,85,0.0004066848401746358,5947
2,b,a,1,674,0.00042172951225104743,6167
125,k,c,2,605,0.0004220714366164204,6172
623,K,d,7,143,0.00043301301630835614,6332
113,k,b,2,593,0.00043800511204280184,6405
25,n,c,1,697,0.0004384154212812494,6411
680,B,a,8,8,0.0004412192010773079,6452
37,n,d,1,709,0.00045099823792697547,6595
635,K,e,7,155,0.0004514769320384977,6602
149,k,e,2,629,0.00045257109000769127,6618
752,B,g,8,80,0.00045263947488076586,6619
74,b,g,1,746,0.00045407555721533243,6640
491,K,a,6,203,0.0004586573437113305,6707
173,k,g,2,653,0.0004590676529497781,6713
599,K,b,7,119,0.00046412813355729837,6787
611,K,c,7,131,0.0004661796797495363,6817
659,K,g,7,179,0.0004745910191377119,6940
760,q,h,8,88,0.0004972947969984785,7272
647,K,f,7,167,0.0005001669616676117,7314
727,N,e,8,55,0.0005039281296867146,7369
161,k,f,2,641,0.0005065267548635493,7407
679,N,a,8,7,0.0005070054489750715,7414
293,k,a,4,389,0.0005221185059245577,7635
169,n,g,2,649,0.0005255377495782875,7685
667,N,h,7,187,0.000527520910897451,7714
715,N,d,8,43,0.0005406508065277738,7906
76,q,g,1,748,0.0005779205623534299,8451
703,N,c,8,31,0.0005816133454994582,8505
281,k,h,3,569,0.0005924865403183193,8664
754,Q,g,8,82,0.0006050693569640453,8848
395,K,a,5,299,0.0006153270879252351,8998
655,N,g,7,175,0.000627089286094066,9170
389,k,a,5,293,0.0006365263985783605,9308
575,K,h,6,287,0.0006475363631433708,9469
692,B,b,8,20,0.0006544432353239053,9570
82,Q,g,1,754,0.0006551954689277259,9581
